Epoch 1/20
Found 30 images belonging to 1 classes.
Found 30 images belonging to 1 classes.
2019-08-04 08:27:47.913689: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2
2019-08-04 08:27:48.115552: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1411] Found device 0 with properties: 
name: GeForce GTX 1070 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 8.00GiB freeMemory: 6.61GiB
2019-08-04 08:27:48.115844: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1490] Adding visible gpu devices: 0
2019-08-04 08:27:48.477559: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-08-04 08:27:48.477715: I tensorflow/core/common_runtime/gpu/gpu_device.cc:977]      0 
2019-08-04 08:27:48.477806: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990] 0:   N 
2019-08-04 08:27:48.478011: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1103] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 6366 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1070 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
2019-08-04 08:27:54.736672: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 2.32GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.
2019-08-04 08:27:55.509972: W tensorflow/core/common_runtime/bfc_allocator.cc:215] Allocator (GPU_0_bfc) ran out of memory trying to allocate 3.38GiB. The caller indicates that this is not a failure, but may mean that there could be performance gains if more memory were available.

 93/300 [========>.....................] - ETA: 2:00 - loss: 0.0361 - acc: 0.9933
 94/300 [========>.....................] - ETA: 2:00 - loss: 0.0358 - acc: 0.9933
 95/300 [========>.....................] - ETA: 1:59 - loss: 0.0357 - acc: 0.9933
 96/300 [========>.....................] - ETA: 1:58 - loss: 0.0355 - acc: 0.9933
 97/300 [========>.....................] - ETA: 1:57 - loss: 0.0352 - acc: 0.9933
 98/300 [========>.....................] - ETA: 1:56 - loss: 0.0350 - acc: 0.9933
 99/300 [========>.....................] - ETA: 1:56 - loss: 0.0348 - acc: 0.9933
100/300 [=========>....................] - ETA: 1:55 - loss: 0.0346 - acc: 0.9933
101/300 [=========>....................] - ETA: 1:54 - loss: 0.0344 - acc: 0.9933
102/300 [=========>....................] - ETA: 1:53 - loss: 0.0341 - acc: 0.9933
103/300 [=========>....................] - ETA: 1:53 - loss: 0.0339 - acc: 0.9933
104/300 [=========>....................] - ETA: 1:52 - loss: 0.0337 - acc: 0.9933
105/300 [=========>....................] - ETA: 1:51 - loss: 0.0335 - acc: 0.9933
106/300 [=========>....................] - ETA: 1:50 - loss: 0.0333 - acc: 0.9933
107/300 [=========>....................] - ETA: 1:50 - loss: 0.0331 - acc: 0.9933
108/300 [=========>....................] - ETA: 1:49 - loss: 0.0330 - acc: 0.9933
109/300 [=========>....................] - ETA: 1:48 - loss: 0.0328 - acc: 0.9933
110/300 [==========>...................] - ETA: 1:48 - loss: 0.0326 - acc: 0.9933
111/300 [==========>...................] - ETA: 1:47 - loss: 0.0324 - acc: 0.9933
112/300 [==========>...................] - ETA: 1:46 - loss: 0.0322 - acc: 0.9933
113/300 [==========>...................] - ETA: 1:45 - loss: 0.0320 - acc: 0.9933
114/300 [==========>...................] - ETA: 1:45 - loss: 0.0318 - acc: 0.9933
115/300 [==========>...................] - ETA: 1:44 - loss: 0.0317 - acc: 0.9933
116/300 [==========>...................] - ETA: 1:43 - loss: 0.0315 - acc: 0.9933
117/300 [==========>...................] - ETA: 1:43 - loss: 0.0313 - acc: 0.9933
118/300 [==========>...................] - ETA: 1:42 - loss: 0.0312 - acc: 0.9933
119/300 [==========>...................] - ETA: 1:41 - loss: 0.0310 - acc: 0.9933
120/300 [===========>..................] - ETA: 1:41 - loss: 0.0309 - acc: 0.9933
121/300 [===========>..................] - ETA: 1:40 - loss: 0.0307 - acc: 0.9933
122/300 [===========>..................] - ETA: 1:39 - loss: 0.0305 - acc: 0.9933
123/300 [===========>..................] - ETA: 1:39 - loss: 0.0304 - acc: 0.9933
124/300 [===========>..................] - ETA: 1:38 - loss: 0.0302 - acc: 0.9933
125/300 [===========>..................] - ETA: 1:37 - loss: 0.0301 - acc: 0.9933
126/300 [===========>..................] - ETA: 1:37 - loss: 0.0299 - acc: 0.9933
127/300 [===========>..................] - ETA: 1:36 - loss: 0.0298 - acc: 0.9933
128/300 [===========>..................] - ETA: 1:35 - loss: 0.0297 - acc: 0.9933
129/300 [===========>..................] - ETA: 1:35 - loss: 0.0296 - acc: 0.9933
130/300 [============>.................] - ETA: 1:34 - loss: 0.0294 - acc: 0.9933
131/300 [============>.................] - ETA: 1:33 - loss: 0.0293 - acc: 0.9933
132/300 [============>.................] - ETA: 1:33 - loss: 0.0293 - acc: 0.9933
133/300 [============>.................] - ETA: 1:32 - loss: 0.0291 - acc: 0.9933
134/300 [============>.................] - ETA: 1:32 - loss: 0.0290 - acc: 0.9933
135/300 [============>.................] - ETA: 1:31 - loss: 0.0288 - acc: 0.9933
136/300 [============>.................] - ETA: 1:30 - loss: 0.0287 - acc: 0.9933
137/300 [============>.................] - ETA: 1:30 - loss: 0.0286 - acc: 0.9933
138/300 [============>.................] - ETA: 1:29 - loss: 0.0285 - acc: 0.9933
139/300 [============>.................] - ETA: 1:28 - loss: 0.0284 - acc: 0.9933
140/300 [=============>................] - ETA: 1:28 - loss: 0.0282 - acc: 0.9933
141/300 [=============>................] - ETA: 1:27 - loss: 0.0281 - acc: 0.9933
142/300 [=============>................] - ETA: 1:26 - loss: 0.0280 - acc: 0.9933
143/300 [=============>................] - ETA: 1:26 - loss: 0.0279 - acc: 0.9933
144/300 [=============>................] - ETA: 1:25 - loss: 0.0278 - acc: 0.9933
145/300 [=============>................] - ETA: 1:25 - loss: 0.0277 - acc: 0.9933
146/300 [=============>................] - ETA: 1:24 - loss: 0.0276 - acc: 0.9933
147/300 [=============>................] - ETA: 1:23 - loss: 0.0275 - acc: 0.9933
148/300 [=============>................] - ETA: 1:23 - loss: 0.0274 - acc: 0.9933
149/300 [=============>................] - ETA: 1:22 - loss: 0.0273 - acc: 0.9933
